"Source","Destination","Reason","Bytes"
"paper_iswc_camera_ready\main_merge_preview.pdf","paper\STC_ISWC_2026.pdf","Camera-ready paper","434857"
"paper_iswc_camera_ready\supplementary.pdf","paper\STC_ISWC_2026_supplementary.pdf","Supplementary material","437181"
"scripts\build_dbpedia_eval_subset.py","scripts\build_dbpedia_eval_subset.py","Dependency-aware public script collection","13501"
"scripts\run_exp01_blindness_diagnostics.py","scripts\run_exp01_blindness_diagnostics.py","Dependency-aware public script collection","48398"
"scripts\run_exp02_exact_blind_subset_bench.py","scripts\run_exp02_exact_blind_subset_bench.py","Dependency-aware public script collection","65757"
"scripts\run_exp03_global_return_semantics_exact.py","scripts\run_exp03_global_return_semantics_exact.py","Dependency-aware public script collection","64957"
"scripts\run_exp04_practicality_exact.py","scripts\run_exp04_practicality_exact.py","Dependency-aware public script collection","48725"
"scripts\run_exp05_unknown_aware_global.py","scripts\run_exp05_unknown_aware_global.py","Dependency-aware public script collection","51551"
"scripts\run_exp06_ablations_exact.py","scripts\run_exp06_ablations_exact.py","Dependency-aware public script collection","60294"
"scripts\run_exp07_quota_blind_subset_bench.py","scripts\run_exp07_quota_blind_subset_bench.py","Dependency-aware public script collection","52934"
"scripts\run_exp08_global_quota_return_semantics.py","scripts\run_exp08_global_quota_return_semantics.py","Dependency-aware public script collection","57936"
"scripts\run_exp09_quota_vs_filtering_partial.py","scripts\run_exp09_quota_vs_filtering_partial.py","Dependency-aware public script collection","70460"
"scripts\run_exp10_collapse_sensitivity_analysis.py","scripts\run_exp10_collapse_sensitivity_analysis.py","Dependency-aware public script collection","58812"
"scripts\run_exp11_typed_entity_retrieval_generalization.py","scripts\run_exp11_typed_entity_retrieval_generalization.py","Dependency-aware public script collection","64089"
"scripts\run_exp12_quota_matched_baselines.py","scripts\run_exp12_quota_matched_baselines.py","Dependency-aware public script collection","74866"
"scripts\run_exp13_fixed_lambda_grid.py","scripts\run_exp13_fixed_lambda_grid.py","Dependency-aware public script collection","18899"
"scripts\run_exp14_factual_utility.py","scripts\run_exp14_factual_utility.py","Dependency-aware public script collection","18826"
"scripts\run_exp19_bootstrap_ci.py","scripts\run_exp19_bootstrap_ci.py","Dependency-aware public script collection","18843"
"scripts\run_exp21_runtime_breakdown.py","scripts\run_exp21_runtime_breakdown.py","Dependency-aware public script collection","9998"
"scripts\run_exp22_learned_reranker_baseline.py","scripts\run_exp22_learned_reranker_baseline.py","Dependency-aware public script collection","33120"
"artifacts\stc_final_tables_corrected\exp12_corrected_quota_frontier.csv","results\frozen\exp12_corrected_quota_frontier.csv","Publication-level frozen result","5098"
"artifacts\stc_final_tables_corrected\exp13_corrected_fixed_lambda_comparison.csv","results\frozen\exp13_corrected_fixed_lambda_comparison.csv","Publication-level frozen result","2442"
"artifacts\stc_final_tables_corrected\exp14_all_scorers_corrected_optq_compact.csv","results\frozen\exp14_all_scorers_corrected_optq_compact.csv","Publication-level frozen result","3066"
"artifacts\stc_final_tables_corrected\exp16_corrected_energy_ablation_compact.csv","results\frozen\exp16_corrected_energy_ablation_compact.csv","Publication-level frozen result","7197"
"artifacts\stc_final_tables_corrected\exp19_corrected_bootstrap_optq_compact.csv","results\frozen\exp19_corrected_bootstrap_optq_compact.csv","Publication-level frozen result","6667"
"artifacts\stc_final_tables_corrected\exp21_runtime_breakdown_paper_verified.csv","results\frozen\exp21_runtime_breakdown_paper_verified.csv","Publication-level frozen result","510"
