key,category,status,description,location,details
title,manuscript,PASS,Final title and running title,<PROJECT_ROOT>\paper_iswc_camera_ready\main_merge_preview.tex,
main_utility,manuscript,PASS,Canonical factual/semantic utility rows,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_main_utility.tex,
dataset_diagnostics,manuscript,PASS,"Canonical settings, feasibility and target exposure",<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_dataset_diagnostics.tex,
learned_compact,manuscript,PASS,Compact learned comparison and held-out counts,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_empirical_policy_comparison.tex,
learned_full,manuscript,PASS,Full STC learned diagnostics including Shift@10,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_learned_policy_full.tex,
fixed_lambda,manuscript,PASS,Full fixed-pressure populations and rows,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_fixed_lambda_comparison.tex,
energy_ablation,manuscript,PASS,Domain/range and unknown-penalty ablations,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_energy_ablation.tex,
bootstrap,manuscript,PASS,Factual and semantic bootstrap intervals,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_bootstrap_evidence.tex,
runtime,manuscript,PASS,Runtime decomposition,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_runtime.tex,
cross_semantic,manuscript,PASS,Additional scorer semantic diagnostics,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_cross_scorer.tex,
cross_factual,manuscript,PASS,Additional scorer factual diagnostics,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_cross_scorer_factual.tex,
quota_frontier,manuscript,PASS,Complete quota frontier,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_quota_frontier.tex,
window_frontier,manuscript,PASS,Complete candidate-window frontier,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_window_sensitivity.tex,
structure,manuscript,PASS,Structural summaries,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_structure_diagnostics.tex,
relation,manuscript,PASS,"Relation support, concentration and utility",<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_relation_concentration.tex,
head_tail,manuscript,PASS,Full and matched head-tail slices,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_head_tail_slices.tex,
formula_b,theory,PASS,Uses b=k-q,main source,
formula_crossing,theory,PASS,Uses the (b+1)-th crossing,main source,
formula_scalar,theory,PASS,Minimality is restricted to the scalar family,main source,
formula_not_permutation,theory,PASS,Arbitrary-permutation minimality is explicitly denied,main source,
formula_zero,theory,PASS,Has the explicit zero-pressure branch,main source,
old_formula_absent,theory,PASS,Superseded over-controlling partial-quota formula is absent,main source,
fixed_window_no_requery,claims,PASS,Fixed materialized window and no re-query,main source,materialized_window=True; no_requery=True
filtering_endpoint,claims,PASS,Hard validation is a valid strict endpoint,main source,
operational_not_owl,claims,PASS,Operational admissibility is not OWL inconsistency,main source,
unknown_not_violation,claims,PASS,Unknown means insufficient evidence,main source,
separate_populations,claims,PASS,Learned and fixed tables use separate populations,main source,
collapse,claims,PASS,Exact endpoint collapses to admissibility-first,main source,
drugbank_ablation,claims,PASS,DrugBank unknown-penalty omission is explained,main source,
